Region Name,Grid X,Grid Y,Updated Epoch,Parameters JSON
Numbat,260608,230912,1788347781,"{""DATA_SIM_POS_X"":260608,""DATA_SIM_POS_Y"":230912,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":44,""agent_limit_max"":110,""agent_reserved"":4,""agent_unreserved"":40,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3523617,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":1,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":22500,""region_object_bonus"":1,""region_product_name"":""Mainland / Full Region"",""region_product_sku"":""023"",""region_rating"":""MATURE"",""region_start_time"":1788269201,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-05d2f6ef7f28ac785.agni.secondlife.io"",""whisper_range"":10}"
Bandicoot,260352,230912,1788347746,"{""DATA_SIM_POS_X"":260352,""DATA_SIM_POS_Y"":230912,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":44,""agent_limit_max"":110,""agent_reserved"":4,""agent_unreserved"":40,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3442751,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":1,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":22500,""region_object_bonus"":1,""region_product_name"":""Mainland / Full Region"",""region_product_sku"":""023"",""region_rating"":""MATURE"",""region_start_time"":1788271118,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-07e7458520d42cfcd.agni.secondlife.io"",""whisper_range"":10}"
Spurness,261120,232448,1788348780,"{""DATA_SIM_POS_X"":261120,""DATA_SIM_POS_Y"":232448,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":44,""agent_limit_max"":110,""agent_reserved"":4,""agent_unreserved"":40,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3498826,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":1,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":22500,""region_object_bonus"":1,""region_product_name"":""Mainland / Full Region"",""region_product_sku"":""023"",""region_rating"":""MATURE"",""region_start_time"":1788270622,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-09080db34a215cfac.agni.secondlife.io"",""whisper_range"":10}"
Lordshore,261376,232448,1788349007,"{""DATA_SIM_POS_X"":261376,""DATA_SIM_POS_Y"":232448,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":24931686,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787760813,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC Magnum"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0b234a31dfff1f424.agni.secondlife.io"",""whisper_range"":10}"
Hiersch,261376,232704,1788349016,"{""DATA_SIM_POS_X"":261376,""DATA_SIM_POS_Y"":232704,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":2542908,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788273068,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-0fa73db031b9f3c49.agni.secondlife.io"",""whisper_range"":10}"
Ustermann,261376,232960,1788349032,"{""DATA_SIM_POS_X"":261376,""DATA_SIM_POS_Y"":232960,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":3,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":22403211,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114113,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1787757410,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life RC Ferrari"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-08d4bf96828e30281.agni.secondlife.io"",""whisper_range"":10}"
Orgamast,261632,232960,1788349050,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":232960,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":2721156,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788273057,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-09bbdd95fed632557.agni.secondlife.io"",""whisper_range"":10}"
Kyat Lun,261632,233216,1788349064,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":233216,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3169431,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788272264,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-07197329f7794f04d.agni.secondlife.io"",""whisper_range"":10}"
Glasso,261632,233472,1788349078,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":233472,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":3019142,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788273327,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-04220be38f2f3414e.agni.secondlife.io"",""whisper_range"":10}"
Demien,261632,233728,1788349092,"{""DATA_SIM_POS_X"":261632,""DATA_SIM_POS_Y"":233728,""DATA_SIM_RATING"":""MATURE"",""DATA_SIM_STATUS"":""up"",""agent_limit"":25,""agent_limit_max"":25,""agent_reserved"":5,""agent_unreserved"":20,""allow_damage_adjust"":1,""chat_range"":20,""damage_limit"":0,""damage_throttle"":0,""death_action"":0,""dynamic_pathfinding"":""enabled"",""estate_id"":1,""estate_name"":""mainland"",""frame_number"":2807830,""grid"":""agni"",""health_regen_rate"":0.166667,""invulnerability_time"":0,""region_cpu_ratio"":4,""region_flags"":1114112,""region_idle"":0,""region_max_prims"":5000,""region_object_bonus"":1,""region_product_name"":""Mainland / Homestead"",""region_product_sku"":129,""region_rating"":""MATURE"",""region_start_time"":1788272826,""restore_health"":1,""restrict_combat_log"":0,""shout_range"":100,""sim_channel"":""Second Life Server"",""sim_version"":""2026-08-03.30838755483"",""simulator_hostname"":""simhost-05dba0e94be898e7e.agni.secondlife.io"",""whisper_range"":10}"
